source_coords,dest1_coords,dest2_coords,source_D1_distance(in miles),source_D1_time(in minutes),source_D2_distance(in miles),source_D2_time(in minutes),total_shared_distance,total_shared_time,Matched_NoMatched
"(-73.785924, 40.645134)","(-73.936203, 40.70028305)", ,10.74000,16.600, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.81170654, 40.69406891)', '(-73.80950165, 40.71218109)', '(-73.91124725, 40.64322281)']"
"(-73.785924, 40.645134)","(-73.93621063, 40.66937256)", ,10.31000,16.650, , ,,,"(-73.93621063, 40.66937256):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.93621826, 40.81559753)", ,18.35000,26.610, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.86183167, 40.76843643)', '(-73.82498169, 40.70188141)']"
"(-73.785924, 40.645134)","(-73.93623352, 40.70586014)", ,11.30000,18.050, , ,,,"(-73.93623352, 40.70586014): D2: (-73.81154633, 40.67684174)row not found in NewTripsRequests table"
"(-73.785924, 40.645134)","(-73.93623352, 40.70949173)", ,11.60000,18.580, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.79049683, 40.64399338)', '(-73.82929993, 40.70901871)', '(-73.79016876, 40.64360046)']"
"(-73.785924, 40.645134)","(-73.93631744, 40.82558441)","(-73.90607452, 40.76801682)",19.74000,28.290,13.70000,18.310,27.84500,23.850,Matched
"(-73.785924, 40.645134)","(-73.93631744, 40.85358047)","(-73.8529892, 40.72518921)",21.27000,29.450,8.58000,13.410,23.30500,25.610,Matched
"(-73.785924, 40.645134)","(-73.93632507, 40.71227264)", ,12.07000,19.260, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.79295349, 40.7164917)']"
"(-73.785924, 40.645134)","(-73.93634033, 40.69162369)", ,10.90000,18.010, , ,,,"(-73.93634033, 40.69162369):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.93636322, 40.85041809)", ,21.00000,28.760, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.81136322, 40.70120621)']"
