source_coords,dest1_coords,dest2_coords,source_D1_distance(in miles),source_D1_time(in minutes),source_D2_distance(in miles),source_D2_time(in minutes),total_shared_distance,total_shared_time,Matched_NoMatched
"(-73.785924, 40.645134)","(-73.81092072, 40.75812912)", ,12.14000,17.470, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.78022766, 40.69617844)', '(-73.78942108, 40.64725113)', '(-73.78964996, 40.64702988)']"
"(-73.785924, 40.645134)","(-73.81159973, 40.75645828)", ,11.45000,17.280, , ,,,"(-73.81159973, 40.75645828):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.81244659, 40.72497559)","(-73.79089355, 40.67808533)",7.91000,12.140,4.38000,6.860,10.45000,11.150,Matched
"(-73.785924, 40.645134)","(-73.81424713, 40.68709183)", ,4.45000,8.820, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.79338837, 40.65686035)', '(-73.79125977, 40.64599991)', '(-73.68055725, 40.7105217)']"
"(-73.785924, 40.645134)","(-73.81568909, 40.76643753)", ,11.65000,16.000, , ,,,"(-73.81568909, 40.76643753):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.81593323, 40.7006073)","(-73.78205872, 40.70539093)",5.97000,8.510,6.79000,10.180,10.22500,10.760,Matched
"(-73.785924, 40.645134)","(-73.81623077, 40.76277161)", ,11.62000,16.170, , ,,,"(-73.81623077, 40.76277161):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.81643677, 40.71327591)", ,6.61000,9.260, , ,,,"(-73.81643677, 40.71327591):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.81770325, 40.72028732)", ,7.13000,10.220, , ,,,"(-73.81770325, 40.72028732):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.81892395, 40.76141739)", ,10.95000,16.160, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.77667236, 40.66453171)']"
"(-73.785924, 40.645134)","(-73.81954193, 40.71306229)", ,6.92000,10.490, , ,,,"(-73.81954193, 40.71306229):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.81965637, 40.70231247)", ,5.99000,8.450, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.78061676, 40.66981125)']"
"(-73.785924, 40.645134)","(-73.82006836, 40.82568359)", ,16.04000,23.220, , ,,,"(-73.82006836, 40.82568359):Passenger constraint not satisfied for trip"
"(-73.785924, 40.645134)","(-73.82070923, 40.6792717)","(-73.69441986, 40.79611969)",4.33000,7.520,15.97000,22.960,8.09000,20.930,Matched
"(-73.785924, 40.645134)","(-73.82080841, 40.75878143)", ,10.86000,15.550, , ,,,"(-73.82080841, 40.75878143):Not present in PreComputed rows or does not have angle <= 30"
